<TICKER>,<DATA>,<VOLUME>,<ABERTURA>,<MAXIMO>,<MINIMO>,<FECHO>
PTC,20000316,6436600,115.883,117.180,113.126,113.694
PTC,20000317,5134900,115.640,117.505,113.532,114.342
PTC,20000320,4019200,118.965,119.208,115.234,119.208
PTC,20000321,2884300,117.586,119.856,116.856,118.559
PTC,20000322,6403900,119.856,120.263,110.693,110.693
PTC,20000323,6588900,109.072,110.125,105.746,107.044
PTC,20000324,4314200,107.450,115.802,106.882,114.342
PTC,20000327,3121000,113.451,116.937,111.910,112.315
PTC,20000328,3783300,115.072,116.613,112.720,113.532
PTC,20000329,2924000,112.720,113.532,108.422,109.072
PTC,20000330,5325600,105.584,107.774,104.449,106.720
PTC,20000331,3860100,105.665,111.017,105.584,108.665
PTC,20000403,7255600,108.260,109.315,101.367,101.367
PTC,20000404,10034200,97.312,100.557,94.474,97.800
PTC,20000405,6399600,97.393,100.962,91.312,99.745
PTC,20000406,6777200,103.800,109.234,102.746,105.827
PTC,20000407,4602500,108.991,110.369,106.476,107.531
PTC,20000410,3476000,108.665,111.829,106.314,106.314
PTC,20000411,6134700,103.151,104.449,98.934,99.664
PTC,20000412,4034600,101.367,101.691,97.312,97.393
PTC,20000413,7263400,95.691,98.448,93.988,96.502
PTC,20000414,6872500,96.096,97.312,90.014,90.014
PTC,20000417,6620700,85.959,93.177,85.554,90.907
PTC,20000418,5754500,93.258,95.691,90.419,95.285
PTC,20000419,5620900,96.340,97.881,91.231,94.069
PTC,20000420,1247700,94.069,95.691,93.258,94.555
PTC,20000426,4091400,97.312,99.340,96.583,97.474
PTC,20000427,5897800,98.205,102.016,94.880,97.393
PTC,20000428,2739700,100.557,100.881,98.367,99.502
PTC,20000502,6006200,104.936,105.827,102.989,105.260
PTC,20000503,3813000,103.395,106.314,101.448,102.179
PTC,20000504,4300700,101.773,102.989,99.016,99.016
PTC,20000505,2071600,98.934,101.043,97.719,100.800
PTC,20000508,5574800,98.853,99.989,94.717,96.664
PTC,20000509,0,97.231,97.231,93.258,93.258
PTC,20000510,0,93.258,94.069,87.176,87.176
PTC,20000511,5115900,86.771,90.014,85.311,89.041
PTC,20000512,2857000,89.447,91.393,88.554,90.257
PTC,20000515,3093900,89.285,89.609,85.959,86.365
PTC,20000516,10131700,88.717,91.879,88.473,91.798
PTC,20000517,10598300,89.609,91.069,87.987,89.122
PTC,20000518,3889500,90.419,92.204,89.447,91.798
PTC,20000519,8909500,89.528,90.825,86.933,88.311
PTC,20000522,11241700,87.987,89.528,86.284,87.581
PTC,20000523,8594600,89.203,89.203,85.959,87.581
PTC,20000524,9356200,85.149,86.365,83.608,83.608
PTC,20000525,2590700,85.959,87.014,85.311,85.635
PTC,20000526,10278900,84.257,87.987,83.770,87.581
PTC,20000529,11049600,88.960,91.312,87.825,90.825
PTC,20000530,0,92.123,95.610,92.123,94.150
PTC,20000531,5618000,95.285,96.826,94.474,94.880
PTC,20000601,3586900,95.610,99.097,95.204,98.529
PTC,20000602,5854100,99.664,103.395,97.962,101.367
PTC,20000605,2431400,101.205,101.691,97.393,97.393
PTC,20000606,2054200,99.340,99.745,96.826,98.934
PTC,20000607,1987900,97.312,98.043,96.259,97.637
PTC,20000608,2786500,98.772,100.557,96.907,97.719
PTC,20000609,2317900,98.772,102.016,97.962,100.800
PTC,20000612,798700,101.367,102.584,100.719,100.800
PTC,20000613,1874800,100.719,102.179,100.151,101.448
PTC,20000614,3228400,102.989,105.260,102.179,103.638
PTC,20000615,1854700,104.368,104.449,102.179,102.908
PTC,20000616,5173500,104.449,105.017,100.151,100.638
PTC,20000619,0,101.367,101.367,97.719,98.529
PTC,20000620,3251800,99.827,99.827,96.015,96.502
PTC,20000621,3745600,93.420,96.502,92.285,96.502
PTC,20000622,0,93.420,96.502,92.285,96.502
PTC,20000623,5677900,94.474,95.691,92.042,92.042
PTC,20000626,4010200,93.177,93.339,89.609,89.933
PTC,20000627,4446300,91.231,93.096,89.041,92.609
PTC,20000628,4918400,93.664,96.826,92.609,96.826
PTC,20000629,9086200,96.421,96.421,92.933,94.555
PTC,20000630,4016000,96.096,96.259,94.393,95.367
PTC,20000703,6916100,96.015,97.556,95.610,96.502
PTC,20000704,2736100,96.502,98.043,95.853,96.502
PTC,20000705,2343200,97.069,97.962,96.177,97.556
PTC,20000706,2399600,96.421,97.556,96.096,96.907
PTC,20000707,0,97.312,100.881,96.745,99.989
PTC,20000710,2273000,99.827,101.286,99.178,100.719
PTC,20000711,3202800,100.557,102.989,99.664,102.989
PTC,20000712,5686100,102.989,106.963,102.989,104.205
PTC,20000713,3537300,103.395,105.584,102.584,105.179
PTC,20000714,4440300,105.827,107.936,105.827,106.233
PTC,20000717,3836700,107.450,109.720,106.476,109.477
PTC,20000718,2641500,107.450,109.477,106.801,107.450
PTC,20000719,2814700,106.152,107.531,104.855,106.233
PTC,20000720,4845900,106.233,110.693,105.827,110.531
PTC,20000721,4321400,110.936,113.532,107.044,107.936
PTC,20000724,0,108.422,112.153,108.098,111.910
PTC,20000725,5192400,110.044,111.099,106.314,106.395
PTC,20000726,3816200,107.612,107.612,104.774,105.422
PTC,20000727,0,106.639,108.747,104.611,105.341
PTC,20000728,11212900,104.611,105.990,94.799,95.285
PTC,20000731,10394400,97.312,97.312,93.096,95.285
PTC,20000801,5076200,96.502,98.853,95.448,98.529
PTC,20000802,4494000,98.610,100.557,97.881,100.151
PTC,20000803,4852700,99.502,100.557,95.285,95.772
PTC,20000804,3183200,97.962,98.448,96.502,96.502
PTC,20000807,3222700,98.043,98.205,93.988,94.474
PTC,20000808,6578600,94.880,94.961,90.825,92.285
PTC,20000809,4548000,93.826,97.231,92.609,96.421
PTC,20000810,4171300,96.096,98.529,96.096,97.881
PTC,20000811,1636200,96.664,97.800,95.691,96.502
PTC,20000814,1716000,97.393,98.286,96.988,98.286
PTC,20000816,5071100,97.719,97.719,95.042,95.448
PTC,20000817,7383800,94.069,94.312,91.474,92.042
PTC,20000818,2994800,92.933,94.231,91.798,93.664
PTC,20000821,506300,93.177,97.150,92.771,97.150
PTC,20000822,4861700,97.231,97.231,92.933,93.745
PTC,20000823,4425800,92.447,92.852,90.014,92.204
PTC,20000824,2638600,92.042,93.258,91.069,92.204
PTC,20000825,3979900,94.474,95.204,93.664,94.069
PTC,20000828,1576200,95.204,96.096,94.555,96.096
PTC,20000829,2598800,94.880,96.096,94.312,96.096
PTC,20000830,1851300,95.285,96.664,94.717,95.285
PTC,20000831,4011500,94.880,96.015,93.826,95.042
PTC,20000901,5711900,96.907,98.853,96.421,98.529
PTC,20000904,4858500,100.476,101.935,100.151,101.124
PTC,20000905,3066600,98.934,100.719,98.286,99.259
PTC,20000906,2196900,98.610,99.583,98.286,99.097
PTC,20000907,2171300,98.205,99.745,97.800,99.259
PTC,20000908,1629600,98.772,99.745,98.124,98.934
PTC,20000911,1100300,98.772,100.151,98.529,99.664
PTC,20000912,2999700,99.421,99.989,95.691,96.907
PTC,20000913,3525800,97.474,98.529,95.123,95.204
PTC,20000914,2397500,96.745,96.826,95.691,96.664
PTC,20000915,3837400,96.502,98.529,95.610,95.610
PTC,20000918,2734700,95.367,96.583,94.474,95.448
PTC,20000919,2788300,95.285,95.853,94.150,95.529
PTC,20000920,4560300,96.340,96.340,94.717,95.691
PTC,20000921,5497500,95.691,95.772,92.447,92.609
PTC,20000922,6431500,90.825,93.258,90.014,93.258
PTC,20000925,4685700,94.799,95.204,93.907,94.312
PTC,20000926,3347400,93.502,93.502,91.798,93.096
PTC,20000928,4090500,93.339,95.204,93.339,94.880
PTC,20000929,3700200,95.448,95.448,94.474,94.474
PTC,20001002,2194700,95.042,95.285,94.393,95.204
PTC,20001003,2456700,95.691,97.150,94.961,96.502
PTC,20001004,2437500,95.772,96.177,93.826,94.150
PTC,20001006,4627900,92.852,93.583,91.393,91.393
PTC,20001009,2997700,89.690,90.582,88.798,89.690
PTC,20001010,2778000,90.825,91.555,89.933,91.555
PTC,20001011,4466200,89.933,90.419,88.149,89.203
PTC,20001012,5749600,89.447,91.069,87.419,88.392
PTC,20001013,4238000,86.771,87.987,85.635,86.771
PTC,20001016,2794600,88.311,88.311,87.014,87.500
PTC,20001017,3683900,87.176,87.419,84.338,84.338
PTC,20001018,6166200,83.527,83.527,79.472,81.499
PTC,20001019,6136600,83.202,84.338,82.554,84.013
PTC,20001020,6483200,85.068,85.392,82.716,83.445
PTC,20001023,7421900,83.527,83.770,80.688,82.311
PTC,20001024,11378000,83.527,88.230,82.878,88.230
PTC,20001025,4217600,86.446,87.825,85.311,85.554
PTC,20001026,8567900,85.554,86.446,80.770,81.175
PTC,20001027,5054100,82.716,83.851,81.904,83.364
PTC,20001030,1908200,83.121,83.608,82.473,83.527
PTC,20001031,0,84.581,85.149,83.689,85.149
PTC,20001102,4685700,85.878,87.581,84.500,84.500
PTC,20001103,6486200,86.040,86.528,84.500,84.500
PTC,20001106,3502800,85.149,85.635,81.904,82.716
PTC,20001107,4992600,83.161,83.161,79.720,80.293
PTC,20001108,6194300,80.293,81.031,78.655,80.704
PTC,20001109,2626800,79.065,80.867,78.983,80.129
PTC,20001110,4470700,79.147,80.622,77.672,78.491
PTC,20001113,2638900,77.835,78.245,74.968,75.050
PTC,20001114,3728700,76.033,77.999,75.869,77.835
PTC,20001115,2695200,77.426,78.409,76.607,77.016
PTC,20001116,2650200,77.016,77.098,75.869,76.278
PTC,20001117,1415900,76.689,76.689,75.541,75.541
PTC,20001120,2450300,75.951,76.115,72.346,73.739
PTC,20001121,3173600,74.640,77.180,73.903,75.787
PTC,20001122,2941000,76.197,76.197,74.231,74.231
PTC,20001123,1208400,74.968,75.869,74.395,75.541
PTC,20001124,9490000,77.672,82.178,76.525,81.932
PTC,20001127,3869600,83.325,85.210,79.966,79.966
PTC,20001128,3017600,80.293,80.539,78.491,79.474
PTC,20001129,4344800,79.474,81.768,79.147,79.556
PTC,20001130,14925900,79.884,80.622,75.296,77.016
PTC,20001204,17710800,77.016,77.672,75.705,75.869
PTC,20001205,8528100,76.607,79.474,76.525,78.328
PTC,20001206,6344800,79.884,80.457,78.901,80.293
PTC,20001207,10252600,80.293,81.113,79.802,80.129
PTC,20001211,14497600,82.670,85.947,81.686,85.947
PTC,20001212,5623100,87.258,87.422,85.701,86.029
PTC,20001213,10894500,85.947,87.749,85.619,87.749
PTC,20001214,7327000,86.602,86.684,83.243,83.817
PTC,20001215,4414400,81.686,83.735,81.604,82.506
PTC,20001218,5601800,84.800,85.046,82.014,82.096
PTC,20001219,8884000,82.341,85.046,82.341,84.144
PTC,20001220,8802400,83.571,83.817,80.375,81.359
PTC,20001221,8339500,80.293,81.195,77.835,80.704
PTC,20001222,3486100,81.850,81.850,79.802,79.884
PTC,20001227,4603500,80.704,81.522,79.638,79.638
PTC,20001228,3486700,80.293,80.293,77.016,77.426
PTC,20001229,2657500,77.917,79.802,77.508,79.802
PTC,20010102,1728300,77.999,79.802,77.262,78.983
PTC,20010103,2467000,78.655,78.819,77.262,77.262
PTC,20010104,8383800,81.932,82.014,79.556,81.195
PTC,20010105,1457200,82.670,83.243,81.031,82.588
PTC,20010108,3202100,81.359,82.834,80.867,82.834
PTC,20010109,1415100,82.834,83.898,82.178,83.653
PTC,20010110,0,83.325,86.029,82.998,85.210
PTC,20010111,5339800,85.783,88.159,85.128,88.077
PTC,20010112,12946100,91.764,93.649,90.699,92.583
PTC,20010115,21573900,92.419,96.516,91.764,95.206
PTC,20010116,8957200,94.222,94.631,91.273,91.682
PTC,20010117,11422000,93.976,97.418,93.403,97.418
PTC,20010118,9790300,97.500,98.810,96.352,97.418
PTC,20010119,9406500,99.630,100.285,95.041,95.041
PTC,20010122,7259500,95.041,95.287,91.355,93.403
PTC,20010123,5941900,91.437,92.501,90.289,92.174
PTC,20010124,0,93.567,98.319,93.567,98.319
PTC,20010125,14189600,100.121,100.285,95.451,97.089
PTC,20010126,0,95.861,95.861,94.058,95.451
PTC,20010129,2731400,94.959,96.925,94.631,96.598
PTC,20010130,7281800,97.500,98.319,96.516,98.237
PTC,20010131,8897500,98.155,98.400,96.762,97.171
PTC,20010201,3808300,96.762,98.155,96.680,98.155
PTC,20010202,3034400,97.663,98.319,96.270,97.089
PTC,20010205,11465900,95.861,96.434,95.124,95.451
PTC,20010206,3289100,94.631,97.500,94.631,97.336
PTC,20010207,5764200,95.451,95.861,95.041,95.451
PTC,20010208,7484400,96.680,96.680,93.976,94.058
PTC,20010209,5644900,92.501,93.403,90.125,90.535
PTC,20010212,4570700,90.945,92.419,90.699,92.010
PTC,20010213,2440700,93.321,93.321,92.092,92.255
PTC,20010214,5366400,88.486,90.535,88.486,90.289
PTC,20010215,3588600,90.945,91.191,89.634,89.716
PTC,20010216,5385800,88.077,88.897,86.602,88.897
PTC,20010219,1872900,88.323,88.486,86.848,86.848
PTC,20010220,5066500,88.486,89.470,88.077,88.650
PTC,20010221,3762200,87.831,88.241,85.619,87.094
PTC,20010222,4182900,87.258,87.340,84.226,84.800
PTC,20010223,4449600,85.046,86.192,82.588,83.161
PTC,20010226,2719400,84.390,85.701,84.062,84.226
PTC,20010228,5058600,84.390,86.602,83.980,85.865
PTC,20010301,4390500,84.554,86.274,84.554,86.274
PTC,20010302,3354300,86.438,87.258,84.964,85.619
PTC,20010305,5401300,86.192,89.470,85.210,89.142
PTC,20010306,7714500,91.928,92.583,90.617,92.501
PTC,20010307,7123600,91.600,93.731,91.518,93.731
PTC,20010308,8849300,93.321,95.861,92.993,94.222
PTC,20010309,4414600,93.731,93.894,90.535,91.109
PTC,20010312,2786800,89.388,89.716,88.486,88.897
PTC,20010313,4674200,89.716,90.945,88.979,89.798
PTC,20010314,0,89.306,89.388,85.292,87.340
PTC,20010315,5824300,87.258,87.831,86.192,86.930
PTC,20010316,9024700,86.192,86.438,84.390,84.800
PTC,20010319,3547600,84.800,85.128,83.735,84.144
PTC,20010320,3113900,85.619,85.865,84.226,84.226
PTC,20010321,6057900,82.178,82.670,80.785,80.785
PTC,20010322,5224600,78.081,78.983,76.607,76.607
PTC,20010323,5547000,80.622,81.113,79.065,80.293
PTC,20010326,6291600,83.161,83.898,82.014,82.014
PTC,20010327,5674500,81.932,83.079,81.768,82.260
PTC,20010328,4032200,81.113,82.341,80.949,82.341
PTC,20010329,6899900,80.704,81.522,80.129,80.293
PTC,20010330,5026400,81.113,82.096,79.474,79.474
PTC,20010402,4776500,79.966,79.966,77.835,78.655
PTC,20010403,5509700,77.835,77.835,75.296,76.197
PTC,20010404,7178500,74.559,80.293,74.477,79.884
PTC,20010405,5522100,81.522,83.161,81.195,82.260
PTC,20010406,4859200,82.341,82.916,81.522,81.932
PTC,20010409,4323100,82.752,84.964,82.341,84.554
PTC,20010410,7031800,86.848,87.831,86.111,86.520
PTC,20010411,8214500,87.504,89.388,86.438,88.486
PTC,20010412,4494900,87.667,88.486,86.274,86.767
PTC,20010417,6556000,84.062,89.306,83.898,88.897
PTC,20010418,7617700,91.027,92.255,90.207,91.027
PTC,20010419,5251200,91.355,91.355,88.979,89.306
PTC,20010420,3396100,89.224,89.798,88.241,89.061
PTC,20010423,6526600,87.012,87.176,83.243,83.243
PTC,20010424,6819600,81.932,82.423,80.867,82.014
PTC,20010426,13945600,83.079,86.029,82.423,85.455
PTC,20010427,7898500,85.783,86.930,84.882,86.602
PTC,20010430,6902000,88.486,90.125,88.486,89.634
PTC,20010502,5430000,88.897,90.289,88.897,89.224
PTC,20010503,5606700,87.913,88.897,87.176,87.667
PTC,20010504,5014600,88.241,89.306,87.667,88.897
PTC,20010507,0,89.470,89.716,88.650,89.306
PTC,20010508,3353200,88.897,90.125,88.897,89.142
PTC,20010509,3393700,88.323,88.650,87.094,88.077
PTC,20010510,4425200,88.650,89.961,88.650,89.961
PTC,20010511,4977400,89.634,90.535,89.224,89.798
PTC,20010514,2541400,89.224,89.716,88.159,88.159
PTC,20010515,2168700,88.650,89.961,88.241,89.961
PTC,20010516,3790300,89.306,89.306,88.077,88.897
PTC,20010517,4050800,89.716,89.716,88.814,89.388
PTC,20010518,2694700,88.979,89.634,88.979,89.388
PTC,20010521,3986400,88.897,89.142,83.571,84.390
PTC,20010522,16494700,83.489,83.489,78.081,80.622
PTC,20010523,7146900,80.211,80.539,78.737,78.983
PTC,20010524,9816700,79.065,79.720,78.737,79.147
PTC,20010525,8293700,79.147,80.867,78.901,80.293
PTC,20010528,1710800,80.622,81.113,80.457,80.949
PTC,20010529,6359400,80.867,81.195,79.638,79.966
PTC,20010530,5763500,79.392,79.638,78.163,78.163
PTC,20010531,5859000,77.835,78.901,76.607,76.607
PTC,20010601,7306200,75.787,77.262,74.477,75.787
PTC,20010604,3069900,76.607,76.771,74.968,75.378
PTC,20010605,6326600,75.296,76.115,74.886,75.623
PTC,20010606,5001900,75.378,75.705,75.050,75.623
PTC,20010607,3878800,75.705,75.951,73.821,74.559
PTC,20010608,7356200,74.968,75.050,73.575,74.149
PTC,20010611,6747100,73.739,73.903,71.936,72.838
PTC,20010612,8488900,72.100,72.100,68.823,69.806
PTC,20010613,0,70.216,71.445,69.970,70.544
PTC,20010615,9253300,69.233,70.052,66.201,66.939
PTC,20010618,3636300,65.709,66.939,64.071,64.890
PTC,20010619,5690700,64.563,66.611,63.497,64.645
PTC,20010620,7650600,63.514,63.514,61.341,63.096
PTC,20010621,6691700,64.099,64.350,61.926,63.514
PTC,20010622,6730400,64.767,66.690,64.517,65.937
PTC,20010625,6238000,66.355,71.035,65.436,71.035
PTC,20010626,5262900,66.940,67.860,66.606,66.773
PTC,20010627,7884900,67.525,67.525,66.021,66.021
PTC,20010628,6375300,65.603,68.862,65.018,68.612
PTC,20010629,6891700,69.949,69.949,68.194,68.862
PTC,20010702,13150300,69.782,71.035,68.862,70.617
PTC,20010703,11173900,70.617,72.790,69.782,71.453
PTC,20010704,5162900,70.784,71.119,69.698,70.617
PTC,20010705,4601200,69.531,70.450,69.531,69.782
PTC,20010706,11527000,69.280,69.280,66.940,67.275
PTC,20010709,3343200,66.690,68.528,65.687,68.194
PTC,20010710,4963500,68.946,69.197,66.439,66.439
PTC,20010711,5994700,65.185,65.603,64.099,64.099
PTC,20010712,7753500,65.854,65.854,62.427,63.347
PTC,20010713,0,62.678,64.266,62.678,63.597
PTC,20010716,4211300,63.765,65.185,63.514,65.185
PTC,20010717,5176900,64.851,65.937,64.684,65.770
PTC,20010718,6463400,65.269,67.692,64.851,67.191
PTC,20010719,9349400,66.857,69.614,66.857,69.197
PTC,20010720,6414600,68.528,69.364,67.692,69.364
PTC,20010723,5489000,69.949,71.537,69.698,70.283
PTC,20010724,4702600,70.199,71.202,70.116,70.534
PTC,20010725,10418800,70.367,70.367,66.606,66.940
PTC,20010726,6077800,67.191,67.609,66.105,66.355
PTC,20010727,5266900,67.024,67.275,65.436,65.436
PTC,20010730,5659200,66.606,68.361,66.188,67.943
PTC,20010731,3100400,67.442,68.528,67.275,68.444
PTC,20010801,2881700,68.862,69.531,68.110,68.194
PTC,20010802,4215600,69.029,69.614,68.110,68.528
PTC,20010803,3865900,68.444,69.280,68.194,69.197
PTC,20010806,4139800,69.364,70.868,69.029,70.868
PTC,20010807,1934300,70.032,70.367,69.447,69.698
PTC,20010808,4282100,68.862,68.946,67.107,67.776
PTC,20010809,5364900,66.021,66.857,64.600,64.684
PTC,20010810,5529600,65.185,65.937,62.511,63.932
PTC,20010813,4660500,63.430,66.105,63.096,65.185
PTC,20010814,3105200,66.439,66.606,65.520,65.603
PTC,20010816,4008300,63.765,64.099,62.845,63.514
PTC,20010817,3653500,63.681,63.932,62.177,62.260
PTC,20010820,6531000,62.093,62.093,60.840,61.759
PTC,20010821,2339000,61.926,62.427,61.425,61.842
PTC,20010822,6417300,61.926,62.595,61.257,61.425
PTC,20010823,3684800,61.508,61.675,60.840,60.923
PTC,20010824,3855800,61.592,61.759,59.502,60.338
PTC,20010827,5412200,61.090,61.090,58.583,59.335
PTC,20010828,5512400,59.335,59.920,58.583,58.917
PTC,20010829,4274900,58.667,59.586,58.165,59.502
PTC,20010830,2485400,59.753,59.753,58.500,58.500
PTC,20010831,3175500,58.500,58.917,57.915,58.667
PTC,20010903,2517900,58.416,58.583,56.410,57.413
PTC,20010904,11297900,57.747,60.255,56.577,59.837
PTC,20010905,37240000,62.678,64.600,60.171,61.007
PTC,20010906,10412100,59.335,60.589,58.917,59.335
PTC,20010907,9409500,58.667,59.753,57.831,58.082
PTC,20010910,8571500,58.917,59.001,57.162,58.500
PTC,20010911,10733300,59.753,60.004,51.396,55.992
PTC,20010912,8699300,56.828,56.828,51.981,52.733
PTC,20010913,8392800,53.067,55.658,52.984,54.572
PTC,20010914,10893200,55.909,55.992,51.814,52.984
PTC,20010917,9754100,52.232,56.661,51.396,55.073
PTC,20010918,7049000,54.321,56.160,53.903,55.992
PTC,20010919,13001300,58.500,60.338,57.664,59.335
PTC,20010920,10467600,59.335,62.678,58.332,61.592
PTC,20010921,15948900,58.917,64.851,58.917,64.350
PTC,20010924,8329400,66.355,67.191,64.600,65.269
PTC,20010925,8320100,64.266,67.692,63.848,67.692
PTC,20010926,5924200,67.275,68.695,67.024,67.191
PTC,20010927,7334400,66.188,66.522,64.015,65.352
PTC,20010928,0,65.436,66.690,64.600,66.690
PTC,20011001,5720900,65.854,67.024,64.684,66.690
PTC,20011002,4892600,65.687,66.857,65.520,65.603
PTC,20011003,10896500,64.350,65.102,62.845,64.684
PTC,20011004,4223700,66.105,66.105,64.433,64.767
PTC,20011008,5897100,62.260,63.932,62.260,63.096
PTC,20011009,4579100,63.932,65.520,63.681,65.185
PTC,20011010,8595000,65.603,69.949,65.436,69.949
PTC,20011011,8468700,71.871,73.375,68.528,68.779
PTC,20011012,5591800,67.609,68.946,67.358,67.860
PTC,20011015,1489300,67.024,68.361,67.024,67.860
PTC,20011016,0,68.528,69.113,67.943,68.110
PTC,20011017,4964900,70.116,70.868,69.447,70.868
PTC,20011018,3452000,69.364,70.868,69.029,70.868
PTC,20011019,3399100,69.364,70.116,68.528,68.528
PTC,20011022,3121400,68.862,70.868,68.862,70.617
PTC,20011023,8334500,71.871,75.464,71.537,74.796
PTC,20011024,4653300,76.300,76.802,75.381,75.799
PTC,20011025,5683500,75.464,76.133,72.539,73.375
PTC,20011026,0,74.629,74.629,72.456,73.292
PTC,20011029,3014900,72.790,74.294,71.286,74.044
PTC,20011030,6138700,72.456,73.793,70.952,71.954
PTC,20011031,7992200,73.124,74.044,72.038,73.542
PTC,20011102,6630800,75.130,75.214,73.208,74.378
PTC,20011105,4692400,75.799,76.384,74.796,76.384
PTC,20011106,4823400,77.303,78.055,76.049,76.049
PTC,20011107,3126100,75.464,77.721,75.464,77.721
PTC,20011108,12646600,78.139,81.649,77.888,79.142
PTC,20011109,6828500,78.222,78.389,76.300,76.718
PTC,20011112,4359500,75.966,78.055,75.464,77.721
PTC,20011113,4918400,79.058,79.810,78.306,78.724
PTC,20011114,6096000,80.228,81.314,78.306,78.974
PTC,20011115,15226200,78.055,78.389,74.963,75.214
PTC,20011116,8933100,75.214,76.300,74.044,74.044
PTC,20011119,7226500,75.966,75.966,73.041,73.960
PTC,20011120,5622200,74.044,74.294,72.456,73.542
PTC,20011121,4646100,73.124,73.459,72.038,72.372
PTC,20011122,1784600,73.041,73.542,72.874,73.375
PTC,20011123,2019000,72.289,73.793,72.205,73.208
PTC,20011126,3772600,73.542,74.044,72.623,72.623
PTC,20011127,4180400,72.539,73.124,71.704,72.122
PTC,20011128,3338700,71.704,72.122,70.283,70.283
PTC,20011129,4550700,70.450,72.539,70.199,71.369
PTC,20011130,4038000,71.787,72.456,70.534,71.119
PTC,20011203,2371500,70.199,70.199,69.029,69.364
PTC,20011204,4350900,70.116,72.038,70.116,71.787
PTC,20011205,6956800,73.124,74.294,71.871,73.960
PTC,20011206,7490900,74.796,76.634,74.211,76.467
PTC,20011207,4007700,75.214,76.802,75.130,75.548
PTC,20011210,3551700,75.214,75.966,74.294,74.712
PTC,20011211,2959300,73.292,75.715,73.292,75.632
PTC,20011212,3384300,75.214,76.551,75.214,75.799
PTC,20011213,3408900,75.381,76.049,73.124,73.877
PTC,20011214,3546400,74.378,74.378,72.372,72.874
PTC,20011217,13447000,73.542,73.626,71.286,71.871
PTC,20011218,8765300,72.122,72.456,70.617,71.537
PTC,20011219,2947700,71.537,72.205,70.617,71.787
PTC,20011220,3348900,71.453,73.124,71.286,71.871
PTC,20011221,5226900,73.709,73.709,71.369,71.620
PTC,20011227,2985300,71.954,73.626,71.954,72.957
PTC,20011228,3274600,73.542,73.626,72.372,73.124
PTC,20020102,1250100,72.874,73.960,72.456,73.877
PTC,20020103,8359600,75.214,77.637,74.796,77.303
PTC,20020104,7141400,76.885,79.643,76.802,78.557
